circuit_evaluation,energy
1,-224.6706
2,-224.6706
3,-224.6706
4,-224.6706
5,-224.6706
6,-224.6706
7,-224.6706
8,-224.6706
9,-224.6706
10,-224.6706
11,-224.6706
12,-224.6706
13,-224.6706
14,-224.6706
15,-224.6706
16,-224.6706
17,-224.6706
18,-224.6706
19,-224.6706
20,-224.6706
21,-224.6706
22,-224.6706
23,-224.6706
24,-224.6706
25,-224.6706
26,-224.6706
27,-224.6706
28,-224.6706
29,-224.6706
30,-224.6706
31,-224.6706
32,-224.6706
33,-224.6706
34,-224.6706
35,-224.6706
36,-224.6706
37,-224.6706
38,-224.6706
39,-232.6874
40,-232.6874
41,-232.6874
42,-232.6874
43,-232.6874
44,-232.6874
45,-232.6874
46,-232.6874
47,-232.6874
48,-232.6874
49,-232.6874
50,-232.6874
51,-232.6874
52,-232.6874
53,-232.6874
54,-232.6874
55,-232.6874
56,-232.6874
57,-232.6874
58,-232.6874
59,-232.6874
60,-232.6874
61,-232.6874
62,-232.6874
63,-232.6874
64,-232.6874
65,-232.6874
66,-232.6874
67,-232.6874
68,-232.6874
69,-232.6874
70,-232.6874
71,-232.6874
72,-232.6874
73,-232.6874
74,-232.6874
75,-232.6874
76,-232.6874
77,-232.6874
78,-232.6874
79,-232.6874
80,-232.6874
81,-232.6874
82,-232.6874
83,-232.6874
84,-232.6874
85,-232.6874
86,-232.6874
87,-232.6874
88,-232.6874
89,-232.6874
90,-232.6874
91,-268.0762
92,-268.0762
93,-268.0762
94,-268.0762
95,-268.0762
96,-268.0762
97,-268.0762
98,-268.0762
99,-268.0762
100,-268.0762
101,-268.0762
102,-268.0762
103,-268.0762
104,-268.0762
105,-268.0762
106,-268.0762
107,-268.0762
108,-268.0762
109,-268.0762
110,-268.0762
111,-268.0762
112,-268.0762
113,-268.0762
114,-268.0762
115,-268.0762
116,-268.0762
117,-268.0762
118,-268.0762
119,-268.0762
120,-268.0762
121,-268.0762
122,-268.0762
123,-268.0762
124,-268.0762
125,-268.0762
126,-268.0762
127,-268.0762
128,-268.0762
128,-268.0762
129,-336.4879
130,-411.4708
131,-411.4708
132,-411.4708
133,-411.4708
134,-452.8057
135,-452.8057
136,-452.8057
137,-452.8057
138,-452.8057
