circuit_evaluation,energy
1,3.7456
2,3.7456
3,3.7456
4,-10.0036
5,-10.0036
6,-10.0036
7,-10.0036
8,-10.0036
9,-10.0036
10,-10.0036
11,-10.0036
12,-12.0246
13,-12.0246
14,-12.0246
15,-12.0246
16,-12.0246
17,-12.0246
18,-13.6362
19,-19.656
20,-19.656
21,-19.656
22,-19.656
23,-19.656
24,-19.656
25,-19.656
26,-19.656
27,-19.656
28,-19.656
29,-19.656
30,-19.656
31,-19.6603
32,-19.6603
33,-19.6603
34,-19.6603
35,-19.6629
36,-19.7478
37,-19.7484
38,-19.7484
39,-19.7775
40,-19.8404
41,-19.9064
42,-19.9612
43,-19.982
44,-19.9988
45,-20.045
46,-20.0758
47,-20.0958
48,-20.1483
49,-20.151
50,-20.1903
51,-20.2285
52,-20.2453
53,-20.2517
54,-20.2884
55,-20.2884
56,-20.3035
57,-20.3404
58,-20.3761
59,-20.4028
60,-20.4232
61,-20.4232
62,-20.4232
63,-20.4257
64,-20.4506
65,-20.4506
66,-20.4506
67,-20.4654
68,-20.4689
69,-20.501
70,-20.5351
71,-20.6008
72,-20.7207
73,-20.7207
74,-20.7207
75,-20.7405
76,-20.7405
77,-20.7436
78,-20.7436
79,-20.7436
80,-20.7614
81,-20.7614
82,-20.7614
83,-20.793
84,-20.793
85,-20.7961
86,-20.7961
87,-20.7961
88,-20.8207
89,-20.8397
90,-20.8397
91,-20.8507
92,-20.8507
93,-20.8507
94,-20.8554
95,-20.8634
96,-20.8634
97,-20.8753
98,-20.8753
99,-20.8753
100,-20.8753
101,-20.9136
102,-20.9296
103,-20.9466
104,-20.9588
105,-20.9588
106,-20.9588
107,-20.9716
108,-20.9874
109,-21.0036
110,-21.0036
111,-21.0036
112,-21.0248
113,-21.034
114,-21.034
115,-21.034
116,-21.034
117,-21.0488
118,-21.0877
119,-21.1079
120,-21.1079
121,-21.1079
122,-21.1227
123,-21.1371
124,-21.1371
125,-21.1464
126,-21.1464
127,-21.1546
128,-21.1546
129,-21.1599
130,-21.1728
131,-21.1728
132,-21.1728
133,-21.1728
134,-21.1728
135,-21.1946
136,-21.1946
137,-21.1946
138,-21.1946
139,-21.199
140,-21.2073
141,-21.2108
142,-21.2126
143,-21.2171
144,-21.2173
145,-21.2173
146,-21.2173
147,-21.2214
148,-21.2285
149,-21.2369
150,-21.2528
151,-21.2846
152,-21.3481
153,-21.4444
154,-21.575
155,-21.8213
156,-21.8213
157,-21.8213
158,-21.8213
159,-21.8213
160,-21.8213
161,-21.8213
162,-21.823
163,-21.8373
164,-21.8373
165,-21.8377
166,-21.8477
167,-21.861
168,-21.8711
169,-21.8855
170,-21.8995
171,-21.9069
172,-21.9397
173,-21.9784
174,-22.0303
175,-22.122
176,-22.1648
177,-22.2862
178,-22.2862
179,-22.2862
180,-22.2862
181,-22.2862
182,-22.2893
183,-22.2893
184,-22.2969
185,-22.3044
186,-22.32
187,-22.3242
188,-22.3297
189,-22.3315
190,-22.3315
191,-22.3315
192,-22.3338
193,-22.3404
194,-22.3462
195,-22.3543
196,-22.3621
197,-22.3643
198,-22.3643
199,-22.3643
200,-22.369
201,-22.3729
202,-22.377
203,-22.3817
204,-22.3903
205,-22.4071
206,-22.4363
207,-22.4684
208,-22.5047
209,-22.5047
210,-22.5098
211,-22.5268
212,-22.5268
213,-22.5342
214,-22.5433
215,-22.5571
216,-22.5693
217,-22.5786
218,-22.5901
219,-22.5901
220,-22.5901
221,-22.5901
222,-22.5901
223,-22.5939
224,-22.5962
225,-22.5987
226,-22.5987
227,-22.5987
228,-22.6015
229,-22.6044
230,-22.6072
231,-22.6102
232,-22.614
233,-22.6186
234,-22.6189
235,-22.6225
236,-22.6261
237,-22.6331
238,-22.646
239,-22.6723
240,-22.7263
241,-22.8275
242,-22.8812
243,-22.9395
244,-22.9395
245,-22.9726
246,-22.9726
247,-23.0023
248,-23.0023
249,-23.0249
250,-23.0579
251,-23.1004
252,-23.1526
253,-23.1811
254,-23.1811
255,-23.1811
256,-23.185
257,-23.1929
258,-23.21
259,-23.2369
260,-23.2452
261,-23.2492
262,-23.2492
263,-23.2492
264,-23.2492
265,-23.2546
266,-23.2619
267,-23.2708
268,-23.2778
269,-23.2814
270,-23.2842
271,-23.289
272,-23.2896
273,-23.2916
274,-23.2917
275,-23.2949
276,-23.298
277,-23.3042
278,-23.3132
279,-23.3241
280,-23.3301
281,-23.3402
282,-23.3575
283,-23.3759
284,-23.3948
285,-23.4087
286,-23.4212
287,-23.4511
288,-23.4515
289,-23.4515
290,-23.4515
291,-23.4578
292,-23.4717
293,-23.4926
294,-23.5072
295,-23.5159
296,-23.5173
297,-23.5173
298,-23.5198
299,-23.5211
300,-23.5211
301,-23.5217
302,-23.5269
303,-23.5345
304,-23.5416
305,-23.5416
306,-23.5433
307,-23.5444
308,-23.5444
309,-23.5444
310,-23.5465
311,-23.5482
312,-23.5486
313,-23.5497
314,-23.55
315,-23.5504
316,-23.5504
317,-23.5504
318,-23.5541
319,-23.5604
320,-23.5685
321,-23.5692
322,-23.5716
323,-23.5719
324,-23.5719
325,-23.576
326,-23.579
327,-23.5826
328,-23.5879
329,-23.5896
330,-23.5904
331,-23.5919
332,-23.5922
333,-23.5922
334,-23.5939
335,-23.5939
336,-23.5941
337,-23.598
338,-23.6034
339,-23.6055
340,-23.6055
341,-23.6061
342,-23.6076
343,-23.6076
344,-23.6082
345,-23.6108
346,-23.6155
347,-23.6235
348,-23.6235
349,-23.6246
350,-23.6265
351,-23.6265
352,-23.6265
353,-23.6284
354,-23.6309
355,-23.6335
356,-23.6342
357,-23.6342
358,-23.6342
359,-23.6353
360,-23.6356
361,-23.6382
362,-23.6407
363,-23.6425
364,-23.6432
365,-23.6435
366,-23.6464
367,-23.6473
368,-23.6497
369,-23.6522
370,-23.6571
371,-23.6656
372,-23.6813
373,-23.6813
374,-23.6851
375,-23.6874
376,-23.6947
377,-23.6994
378,-23.702
379,-23.7052
380,-23.7086
381,-23.7086
382,-23.709
