circuit_evaluation,energy
1,-74.1634
2,-145.6282
3,-145.6282
4,-145.6282
5,-145.6282
6,-145.6282
7,-145.6282
8,-145.6282
9,-145.6282
10,-145.6282
11,-145.6282
12,-145.6282
13,-186.3996
14,-186.3996
15,-186.3996
16,-186.3996
17,-186.3996
18,-186.3996
19,-186.3996
20,-186.3996
21,-186.3996
22,-186.3996
23,-186.3996
24,-186.3996
25,-186.3996
26,-186.3996
27,-186.3996
28,-186.3996
29,-186.3996
30,-186.3996
31,-186.3996
32,-186.3996
33,-186.3996
34,-186.3996
35,-186.3996
36,-186.3996
37,-186.3996
38,-186.3996
39,-186.3996
40,-186.3996
41,-186.3996
42,-186.3996
43,-186.3996
44,-186.3996
45,-186.3996
46,-186.3996
47,-186.3996
48,-186.3996
49,-186.3996
50,-186.3996
51,-186.3996
52,-186.3996
53,-186.3996
54,-186.3996
55,-186.3996
56,-186.3996
57,-186.3996
58,-186.3996
59,-186.3996
60,-186.3996
61,-186.3996
62,-187.018
63,-187.018
64,-187.018
65,-187.018
66,-187.018
67,-187.018
68,-187.018
69,-187.018
70,-187.018
71,-187.018
72,-187.018
73,-187.018
74,-187.018
75,-230.4762
76,-230.4762
77,-230.4762
78,-230.4762
79,-230.4762
80,-230.4762
81,-230.4762
82,-230.4762
83,-230.4762
84,-230.4762
85,-230.4762
86,-230.4762
87,-230.4762
88,-230.4762
89,-230.4762
90,-230.4762
91,-230.4762
92,-230.4762
93,-230.4762
94,-230.4762
95,-230.4762
96,-230.4762
97,-230.4762
98,-230.4762
99,-230.4762
100,-230.4762
101,-230.4762
102,-230.4762
103,-230.4762
104,-230.4762
105,-230.4762
106,-230.4762
107,-230.4762
108,-230.4762
109,-230.4762
110,-230.4762
111,-230.4762
112,-230.4762
113,-230.4762
114,-230.4762
115,-230.4762
116,-230.4762
117,-230.4762
118,-230.4762
119,-230.4762
120,-230.4762
121,-230.4762
122,-230.4762
123,-230.4762
124,-230.4762
125,-230.4762
126,-230.4762
127,-230.4762
128,-230.4762
128,-230.4762
129,-391.3481
130,-391.3481
131,-391.3481
132,-391.3481
133,-392.1284
134,-392.1284
135,-392.1284
136,-392.1284
137,-392.1284
138,-392.1284
139,-392.1284
140,-392.1284
141,-392.1284
142,-392.1284
143,-392.1284
144,-392.1284
145,-392.1284
146,-392.1284
147,-392.1284
148,-392.1284
149,-392.1284
150,-392.1284
151,-392.1284
152,-392.1284
153,-392.1284
154,-392.1284
155,-392.1284
156,-392.1284
157,-392.1284
158,-392.1284
159,-392.1284
160,-392.1284
161,-434.5614
162,-434.5614
163,-434.5614
164,-434.5614
165,-434.5614
166,-434.5614
167,-434.5614
168,-434.5614
169,-434.5614
170,-434.5614
171,-434.5614
172,-434.5614
173,-434.5614
174,-435.7082
175,-435.7082
176,-435.7082
177,-435.7082
178,-435.7082
179,-435.7082
180,-435.7082
181,-435.7082
182,-435.7082
183,-435.7082
184,-435.7082
185,-435.7082
186,-435.7082
187,-435.7082
188,-435.7082
189,-435.7082
190,-435.7082
191,-435.7082
192,-435.7082
193,-435.7082
194,-435.7082
195,-435.7082
196,-435.7082
197,-435.7082
198,-435.7082
199,-485.3769
200,-485.3769
201,-485.3769
202,-485.3769
203,-485.3769
204,-485.3769
205,-485.3769
206,-485.3769
207,-485.3769
208,-485.3769
209,-485.3769
210,-485.3769
211,-485.3769
212,-485.3769
213,-485.3769
214,-485.3769
215,-485.3769
216,-485.3769
217,-485.3769
218,-485.3769
219,-485.3769
220,-485.3769
221,-485.3769
222,-485.3769
223,-485.3769
224,-485.3769
225,-485.3769
226,-485.3769
227,-485.3769
228,-485.3769
229,-485.3769
230,-485.3769
231,-485.3769
232,-485.3769
233,-485.3769
234,-485.3769
235,-485.3769
236,-485.3769
237,-485.3769
238,-485.3769
239,-485.3769
240,-485.3769
241,-485.3769
242,-485.3769
243,-485.3769
244,-485.3769
245,-485.3769
246,-485.3769
247,-485.3769
248,-485.3769
249,-485.3769
250,-485.3769
251,-485.3769
252,-485.3769
253,-485.3769
254,-485.3769
255,-485.3769
256,-485.3769
256,-485.3769
257,-606.4972
258,-606.4972
259,-606.4972
260,-606.4972
261,-606.4972
262,-606.4972
263,-606.4972
264,-606.4972
265,-606.4972
266,-606.4972
267,-606.4972
268,-611.7177
269,-611.7177
270,-611.7177
271,-611.7177
272,-611.7177
273,-611.7177
274,-611.7177
275,-611.7177
276,-611.7177
277,-611.7177
278,-611.7177
279,-642.8947
280,-642.8947
281,-642.8947
282,-697.7185
283,-697.7185
284,-697.7185
285,-697.7185
286,-697.7185
287,-697.7185
288,-697.7185
289,-697.7185
290,-697.7185
291,-697.7185
292,-697.7185
293,-697.7185
294,-697.7185
295,-697.7185
296,-697.7185
297,-697.7185
298,-697.7185
299,-697.7185
300,-697.7185
301,-697.7185
302,-697.7185
303,-697.7185
304,-697.7185
305,-697.7185
306,-697.7185
307,-697.7185
308,-697.7185
309,-697.7185
310,-697.7185
311,-697.7185
312,-697.7185
313,-697.7185
314,-697.7185
315,-697.7185
316,-697.7185
317,-697.7185
318,-697.7185
319,-697.7185
320,-697.7185
320,-697.7185
321,-697.7185
322,-718.8416
323,-745.1021
324,-745.1021
325,-745.1021
326,-772.1335
327,-772.1335
328,-772.1335
328,-772.1335
