circuit_evaluation,energy
1,-203.7221
2,-207.9741
3,-207.9741
4,-207.9741
5,-207.9741
6,-207.9741
7,-207.9741
8,-207.9741
9,-207.9741
10,-213.6369
11,-213.6369
12,-213.6369
13,-213.6369
14,-213.6369
15,-213.6369
16,-213.6369
17,-213.6369
18,-213.6369
19,-213.6369
20,-213.6369
21,-213.6369
22,-213.6369
23,-213.6369
24,-213.6369
25,-215.817
26,-215.817
27,-215.817
28,-215.817
29,-215.817
30,-215.817
31,-215.817
32,-215.817
33,-215.817
34,-215.817
35,-215.817
36,-215.817
37,-215.817
38,-215.817
39,-215.817
40,-215.817
41,-215.817
42,-215.817
43,-215.817
44,-215.817
45,-215.817
46,-215.817
47,-215.817
48,-215.817
49,-215.817
50,-215.817
51,-215.817
52,-215.817
53,-252.5256
54,-252.5256
55,-252.5256
56,-252.5256
57,-252.5256
58,-252.5256
59,-252.5256
60,-252.5256
61,-252.5256
62,-252.5256
63,-252.5256
64,-252.5256
65,-252.5256
66,-252.5256
67,-252.5256
68,-252.5256
69,-252.5256
70,-252.5256
71,-252.5256
72,-252.5256
73,-252.5256
74,-252.5256
75,-252.5256
76,-252.5256
77,-252.5256
78,-252.5256
79,-252.5256
80,-252.5256
81,-252.5256
82,-252.5256
83,-252.5256
84,-252.5256
85,-252.5256
86,-252.5256
87,-252.5256
88,-252.5256
89,-252.5256
90,-252.5256
91,-281.7607
92,-281.7607
93,-281.7607
94,-281.7607
95,-281.7607
96,-281.7607
97,-281.7607
98,-281.7607
99,-281.7607
100,-281.7607
101,-281.7607
102,-281.7607
103,-281.7607
104,-281.7607
105,-281.7607
106,-281.7607
107,-281.7607
108,-281.7607
109,-281.7607
110,-281.7607
111,-281.7607
112,-281.7607
113,-281.7607
114,-281.7607
115,-281.7607
116,-281.7607
117,-281.7607
118,-281.7607
119,-281.7607
120,-281.7607
121,-281.7607
122,-281.7607
123,-281.7607
124,-281.7607
125,-281.7607
126,-281.7607
127,-281.7607
128,-281.7607
128,-281.7607
129,-412.7001
130,-505.925
131,-505.925
132,-505.925
133,-505.925
134,-505.925
135,-505.925
136,-505.925
137,-505.925
138,-505.925
139,-505.925
140,-505.925
141,-549.4705
142,-549.4705
143,-549.4705
144,-549.4705
145,-549.4705
146,-549.4705
147,-549.4705
148,-549.4705
149,-549.4705
150,-549.4705
151,-549.4705
152,-549.4705
153,-549.4705
154,-549.4705
155,-549.4705
156,-549.4705
157,-549.4705
158,-549.4705
159,-549.4705
160,-549.4705
161,-549.4705
162,-549.4705
163,-549.4705
164,-549.4705
165,-549.4705
166,-549.4705
167,-549.4705
168,-549.4705
169,-549.4705
170,-549.4705
171,-549.4705
172,-549.4705
173,-549.4705
174,-549.4705
175,-549.4705
176,-549.4705
177,-549.4705
178,-549.4705
179,-549.4705
180,-549.4705
181,-549.4705
182,-549.4705
183,-549.4705
184,-549.4705
185,-549.4705
186,-549.4705
187,-549.4705
188,-549.4705
189,-549.4705
190,-549.4705
191,-600.8418
192,-600.8418
193,-600.8418
194,-600.8418
195,-600.8418
196,-600.8418
197,-600.8418
198,-600.8418
199,-600.8418
200,-600.8418
201,-600.8418
202,-600.8418
203,-600.8418
204,-600.8418
205,-600.8418
206,-600.8418
207,-600.8418
208,-600.8418
209,-600.8418
210,-600.8418
211,-600.8418
212,-600.8418
213,-600.8418
214,-600.8418
215,-600.8418
216,-600.8418
217,-600.8418
218,-600.8418
219,-600.8418
220,-600.8418
221,-600.8418
222,-600.8418
223,-600.8418
224,-600.8418
225,-600.8418
226,-600.8418
227,-600.8418
228,-600.8418
229,-600.8418
230,-600.8418
231,-600.8418
232,-600.8418
233,-600.8418
234,-600.8418
235,-600.8418
236,-600.8418
237,-600.8418
238,-600.8418
239,-600.8418
240,-600.8418
241,-600.8418
242,-600.8418
243,-600.8418
244,-600.8418
245,-600.8418
246,-600.8418
247,-600.8418
248,-600.8418
249,-600.8418
250,-600.8418
251,-600.8418
252,-600.8418
253,-600.8418
254,-600.8418
255,-600.8418
256,-600.8418
256,-600.8418
257,-790.6526
258,-872.7602
259,-872.7602
260,-872.7602
261,-881.0096
262,-881.0096
263,-881.0096
264,-881.0096
265,-881.0096
266,-881.0096
267,-881.0096
268,-881.0096
269,-881.0096
270,-881.0096
271,-881.0096
272,-929.1736
273,-929.1736
274,-929.1736
275,-929.1736
276,-929.1736
277,-929.1736
278,-929.1736
279,-929.1736
280,-929.1736
281,-939.8873
282,-939.8873
283,-939.8873
284,-939.8873
285,-939.8873
286,-939.8873
287,-944.4603
288,-944.4603
289,-944.4603
290,-944.4603
291,-944.4603
292,-944.4603
293,-944.4603
294,-944.4603
295,-944.4603
296,-944.4603
297,-944.4603
298,-944.4603
299,-944.4603
300,-944.4603
301,-944.4603
302,-944.4603
303,-944.4603
304,-944.4603
305,-944.4603
306,-944.4603
307,-944.4603
308,-944.4603
309,-944.4603
310,-945.3953
311,-945.3953
312,-945.3953
313,-945.3953
314,-945.3953
315,-945.3953
316,-945.3953
317,-945.3953
318,-945.3953
319,-945.3953
320,-945.3953
321,-945.3953
322,-945.3953
323,-945.3953
324,-945.3953
325,-945.3953
326,-945.3953
327,-945.3953
328,-945.3953
329,-945.3953
330,-945.3953
331,-945.3953
