circuit_evaluation,energy
1,11.8276
2,11.8276
3,11.8276
4,11.8276
5,11.8276
6,11.8276
7,11.8276
8,-4.4164
9,-4.4164
10,-4.4164
11,-4.4164
12,-47.4554
13,-47.4554
14,-47.4554
15,-47.4554
16,-47.4554
17,-47.4554
18,-47.4554
19,-47.4554
20,-47.4554
21,-47.4554
22,-47.4554
23,-47.4554
24,-47.4554
25,-47.4554
26,-47.4554
27,-47.4554
28,-47.4554
29,-47.4554
30,-47.4554
31,-48.0841
32,-48.0841
33,-48.0841
34,-48.0841
35,-48.0841
36,-48.0841
37,-49.3343
38,-49.3343
39,-49.3343
40,-50.3257
41,-50.3257
42,-50.3478
43,-52.2312
44,-52.6182
45,-52.6644
46,-53.2012
47,-53.2012
48,-53.2012
49,-53.3341
50,-53.3341
51,-53.3341
52,-53.3341
53,-53.3341
54,-53.3881
55,-53.4083
56,-53.4083
57,-53.4113
58,-53.4113
59,-53.4454
60,-53.5506
61,-53.6914
62,-53.7564
63,-53.7836
64,-53.8029
65,-53.8029
66,-53.8029
67,-53.8029
68,-53.8029
69,-53.8659
70,-53.9442
71,-53.9584
72,-53.9627
73,-53.9829
74,-53.9829
75,-54.0044
76,-54.027
77,-54.027
78,-54.0284
79,-54.0967
80,-54.1726
81,-54.1726
82,-54.1726
83,-54.1952
84,-54.2024
85,-54.2024
86,-54.2169
87,-54.2629
88,-54.346
89,-54.4908
90,-54.4908
91,-54.5635
92,-54.5635
93,-54.5635
94,-54.6494
95,-54.8109
96,-55.131
97,-55.7654
98,-56.4036
99,-56.4036
100,-56.4036
101,-56.4036
102,-56.6366
103,-56.6366
104,-56.6366
105,-56.717
106,-56.8121
107,-56.8935
108,-56.9709
109,-57.0013
110,-57.0821
111,-57.1669
112,-57.1907
113,-57.2946
114,-57.3818
115,-57.4353
116,-57.5294
117,-57.6285
118,-57.8296
119,-58.2277
120,-59.009
121,-60.4004
122,-60.4004
123,-60.6278
124,-60.6278
125,-60.6278
126,-60.7916
127,-60.7916
128,-60.7916
129,-60.7916
130,-60.7953
131,-60.8626
132,-60.9041
133,-60.9379
134,-60.9583
135,-61.002
136,-61.0406
137,-61.1382
138,-61.3422
139,-61.7839
140,-62.4849
141,-63.5326
142,-63.5326
143,-63.5326
144,-63.5525
145,-63.7345
146,-63.7345
147,-63.7974
148,-63.9902
149,-64.1609
150,-64.2501
151,-64.4219
152,-64.6133
153,-64.7846
154,-65.1149
155,-65.4449
156,-65.8848
157,-66.3803
158,-66.5457
159,-67.0507
160,-67.0507
161,-67.2078
162,-67.3414
163,-67.3823
164,-67.3823
165,-67.4177
166,-67.4649
167,-67.542
168,-67.599
169,-67.6274
170,-67.6543
171,-67.7326
172,-67.7902
173,-67.8596
174,-67.9815
175,-68.1002
176,-68.1685
177,-68.1685
178,-68.1685
179,-68.4055
180,-68.5023
181,-68.5023
182,-68.5227
183,-68.5611
184,-68.5959
185,-68.6519
186,-68.7026
187,-68.7541
188,-68.8394
189,-68.8394
190,-68.8394
191,-68.9107
192,-68.9489
193,-68.9815
194,-68.9815
195,-68.9934
196,-69.0229
197,-69.0229
198,-69.0458
199,-69.1115
200,-69.2235
201,-69.2235
202,-69.3074
203,-69.3375
204,-69.3742
205,-69.392
206,-69.4666
207,-69.5002
208,-69.5477
209,-69.585
210,-69.585
211,-69.585
212,-69.6499
213,-69.742
214,-69.8437
215,-69.9612
216,-70.0787
217,-70.1868
218,-70.4067
219,-70.4067
220,-70.4067
221,-70.4067
222,-70.4807
223,-70.4807
224,-70.481
225,-70.5281
226,-70.5623
227,-70.5623
228,-70.5623
229,-70.5851
230,-70.6099
231,-70.6099
232,-70.6099
233,-70.6813
234,-70.7448
235,-70.766
236,-70.8613
237,-70.9226
238,-70.9594
239,-71.028
240,-71.0933
241,-71.0933
242,-71.0933
243,-71.168
244,-71.276
245,-71.276
246,-71.2804
247,-71.3135
248,-71.3167
249,-71.3248
250,-71.3512
251,-71.3601
252,-71.3604
253,-71.3604
254,-71.3604
255,-71.44
256,-71.5308
257,-71.5365
258,-71.5485
259,-71.5982
260,-71.6391
261,-71.6391
262,-71.6391
263,-71.7054
264,-71.7746
265,-71.8107
266,-71.8373
267,-71.8373
268,-71.8631
269,-71.8683
270,-71.8777
271,-71.9368
272,-71.9761
273,-71.9761
274,-71.9761
275,-72.0042
276,-72.0042
277,-72.0149
278,-72.0699
279,-72.1147
280,-72.1662
281,-72.256
282,-72.451
283,-72.451
284,-72.5117
285,-72.5156
286,-72.5223
287,-72.5223
288,-72.5223
289,-72.5844
290,-72.6867
291,-72.8051
292,-72.8051
293,-72.8051
294,-72.8095
295,-72.8257
296,-72.8968
297,-72.9286
298,-72.9528
299,-72.9786
300,-72.9786
301,-72.9786
302,-73.0072
303,-73.0457
304,-73.091
305,-73.13
306,-73.1464
307,-73.1939
308,-73.1939
309,-73.1939
310,-73.2376
311,-73.2557
312,-73.2927
313,-73.3185
314,-73.3185
315,-73.3198
316,-73.3389
317,-73.3542
318,-73.3542
319,-73.3699
320,-73.4189
321,-73.4767
322,-73.5586
323,-73.6206
324,-73.7057
325,-73.7934
326,-73.7934
327,-73.7934
328,-73.8742
329,-73.8742
330,-73.8742
331,-73.9053
